ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/17,TX,202610  ,46495,47037,46376,46445,385,0.84%,50102,46459,99476,46445,46450,47780,39852,,,,
2026/09/17,TX,202610  ,46153,46626,46056,46382,322,0.70%,32283,-,-,46362,46381,47780,39852,,絃,,
2026/09/17,TX,202611  ,46659,47150,46550,46613,391,0.85%,230,46616,527,46601,46610,47932,44435,,,,
2026/09/17,TX,202611  ,46329,46764,46251,46533,311,0.67%,256,-,-,46517,46544,47932,44435,,絃,,
2026/09/17,TX,202612  ,46810,47255,46664,46805,477,1.03%,39,46718,704,46713,46724,50228,27382,,,,
2026/09/17,TX,202612  ,46516,46858,46400,46400,72,0.16%,31,-,-,46622,46658,50228,27382,,絃,,
2026/09/17,TX,202703  ,47212,47650,47212,47250,425,0.91%,11,47206,104,47200,47213,50802,32400,,,,
2026/09/17,TX,202703  ,46982,46982,46950,46950,125,0.27%,2,-,-,47112,47156,50802,32400,,絃,,
2026/09/17,TX,202706  ,47640,48127,47640,47738,468,0.99%,16,47679,63,47660,47699,51411,41461,,,,
2026/09/17,TX,202706  ,47500,47500,47385,47385,115,0.24%,3,-,-,47562,47621,51411,41461,,絃,,
2026/09/17,TX,202709  ,47643,48000,47604,47983,841,1.78%,25,47690,17,47669,47711,48000,47604,,,,
2026/09/18,TX,202610  ,47080,47464,46897,47418,959,2.06%,44655,47428,101893,47420,47425,47780,39852,,,,
2026/09/18,TX,202610  ,46594,47205,46538,47160,701,1.51%,21169,-,-,47151,47162,47780,39852,,絃,,
2026/09/18,TX,202611  ,47300,47601,47083,47581,965,2.07%,170,47581,597,47575,47584,47932,44435,,,,
2026/09/18,TX,202611  ,46721,47358,46721,47317,701,1.50%,106,-,-,47305,47322,47932,44435,,絃,,
2026/09/18,TX,202612  ,47382,47710,47240,47710,992,2.12%,31,47710,711,47702,47715,50228,27382,,,,
2026/09/18,TX,202612  ,46978,47364,46978,47317,599,1.28%,6,-,-,47421,47446,50228,27382,,絃,,
2026/09/18,TX,202703  ,47900,48190,47900,48190,984,2.08%,3,48171,106,48163,48179,50802,32400,,,,
2026/09/18,TX,202703  ,47568,47648,47568,47648,442,0.94%,2,-,-,47886,47908,50802,32400,,絃,,
2026/09/18,TX,202706  ,48244,48665,48150,48665,986,2.07%,12,48665,59,48639,48666,51411,41461,,,,
2026/09/18,TX,202706  ,48223,48400,48223,48400,721,1.51%,4,-,-,48356,48407,51411,41461,,絃,,
2026/09/18,TX,202709  ,48500,48700,48429,48700,1010,2.12%,26,48700,21,48678,48710,48700,47604,,,,
2026/09/18,TX,202709  ,-,-,-,-,-,-,0,-,-,48376,48512,48000,47604,,絃,,
2026/09/21,TX,202610  ,47494,47584,47208,47405,-23,-0.05%,21514,-,-,47404,47415,47780,39852,,絃,,
2026/09/21,TX,202611  ,47659,47730,47380,47570,-11,-0.02%,168,-,-,47566,47584,47932,44435,,絃,,
