ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/03,TX,202608  ,43186,43836,42989,43230,-497,-1.14%,69550,43219,109589,43231,43247,49470,39442,,,,
2026/08/03,TX,202608  ,43519,43873,42086,42650,-1077,-2.46%,69668,-,-,42650,42666,49470,39442,,絃,,
2026/08/03,TX,202609  ,43368,43966,43260,43388,-500,-1.14%,485,43363,6108,43373,43391,49651,24962,,,,
2026/08/03,TX,202609  ,43677,44001,42317,42850,-1038,-2.37%,376,-,-,42832,42853,49651,24962,,絃,,
2026/08/03,TX,202610  ,43394,43810,43394,43580,-430,-0.98%,44,43580,192,43564,43585,46770,39852,,,,
2026/08/03,TX,202610  ,43865,43981,42589,42950,-1060,-2.41%,46,-,-,43008,43039,46770,39852,,絃,,
2026/08/03,TX,202612  ,44218,44218,43985,44014,-292,-0.66%,10,43871,376,43860,43883,50228,27382,,,,
2026/08/03,TX,202612  ,44169,44438,43010,43099,-1207,-2.72%,18,-,-,43302,43343,50228,27382,,絃,,
2026/08/03,TX,202703  ,-,-,-,-,-,-,0,44470,115,44456,44484,50802,32400,,,,
2026/08/03,TX,202703  ,44772,44772,44000,44000,-906,-2.02%,7,-,-,43890,43946,50802,32400,,絃,,
2026/08/03,TX,202706  ,-,-,-,-,-,-,0,45093,62,45073,45113,51411,41461,,,,
2026/08/03,TX,202706  ,-,-,-,-,-,-,0,-,-,44490,44586,51411,41461,,絃,,
2026/08/04,TX,202608  ,42750,43790,42553,43357,138,0.32%,73478,43344,106602,43355,43359,49470,39442,,,,
2026/08/04,TX,202608  ,43003,43165,42104,43152,-67,-0.16%,51504,-,-,43138,43152,49470,39442,,絃,,
2026/08/04,TX,202609  ,43204,43903,42724,43474,111,0.26%,713,43474,6583,43477,43484,49651,24962,,,,
2026/08/04,TX,202609  ,43175,43295,42258,43280,-83,-0.19%,311,-,-,43288,43308,49651,24962,,絃,,
2026/08/04,TX,202610  ,42998,44000,42948,43783,203,0.47%,41,43673,210,43668,43678,46770,39852,,,,
2026/08/04,TX,202610  ,43356,43470,42500,43467,-113,-0.26%,54,-,-,43461,43486,46770,39852,,絃,,
2026/08/04,TX,202612  ,43222,44188,43222,44053,182,0.41%,38,43934,379,43926,43943,50228,27382,,,,
2026/08/04,TX,202612  ,43367,43648,42888,43648,-223,-0.51%,4,-,-,43748,43792,50228,27382,,絃,,
2026/08/04,TX,202703  ,44290,44350,44290,44350,-120,-0.27%,9,44487,119,44476,44498,50802,32400,,,,
2026/08/04,TX,202703  ,43926,43926,43926,43926,-544,-1.22%,7,-,-,44338,44387,50802,32400,,絃,,
2026/08/04,TX,202706  ,44912,45400,44912,45400,307,0.68%,12,45098,67,45082,45114,51411,41461,,,,
2026/08/04,TX,202706  ,44690,44690,44379,44379,-714,-1.58%,12,-,-,44948,45019,51411,41461,,絃,,
2026/08/05,TX,202608  ,44653,44923,44219,44514,1170,2.70%,67212,44537,106247,44514,44530,49470,39442,,,,
2026/08/05,TX,202608  ,43453,44726,43233,44539,1195,2.76%,46662,-,-,44516,44539,49470,39442,,絃,,
2026/08/05,TX,202609  ,44800,45011,44400,44624,1150,2.65%,1036,44626,7259,44603,44626,49651,24962,,,,
2026/08/05,TX,202609  ,43577,44840,43402,44617,1143,2.63%,355,-,-,44630,44658,49651,24962,,絃,,
2026/08/05,TX,202610  ,44880,45190,44626,44675,1002,2.29%,50,44783,221,44771,44796,46770,39852,,,,
2026/08/05,TX,202610  ,43752,44800,43620,44800,1127,2.58%,36,-,-,44757,44836,46770,39852,,絃,,
2026/08/05,TX,202612  ,45126,45458,44940,44950,1016,2.31%,20,45049,386,45036,45062,50228,27382,,,,
2026/08/05,TX,202612  ,44000,45151,44000,45151,1217,2.77%,22,-,-,45051,45124,50228,27382,,絃,,
2026/08/05,TX,202703  ,45800,45860,45766,45777,1290,2.90%,9,45587,122,45573,45601,50802,32400,,,,
2026/08/05,TX,202703  ,-,-,-,-,-,-,0,-,-,45596,45694,50802,32400,,絃,,
2026/08/05,TX,202706  ,46479,46612,46479,46612,1514,3.36%,7,46220,61,46180,46261,51411,41461,,,,
2026/08/05,TX,202706  ,46230,46230,46230,46230,1132,2.51%,1,-,-,46166,46309,51411,41461,,絃,,
2026/08/06,TX,202608  ,44580,44644,44098,44278,-259,-0.58%,44860,-,-,44278,44288,49470,39442,,絃,,
2026/08/06,TX,202609  ,44665,44728,44250,44374,-252,-0.56%,528,-,-,44381,44396,49651,24962,,絃,,
2026/08/06,TX,202610  ,44601,44749,44370,44612,-171,-0.38%,22,-,-,44529,44552,46770,39852,,絃,,
2026/08/06,TX,202612  ,44845,45000,44809,44900,-149,-0.33%,4,-,-,44798,44826,50228,27382,,絃,,
2026/08/06,TX,202703  ,45454,45570,45354,45441,-146,-0.32%,6,-,-,45328,45359,50802,32400,,絃,,
2026/08/06,TX,202706  ,46217,46217,46099,46199,-21,-0.05%,3,-,-,45968,46018,51411,41461,,絃,,
2026/08/03,TX,202608/202609    ,181,181,143,143,-,-,164,-,-,142,145,273,121,,,268,
2026/08/03,TX,202608/202609    ,183,186,181,181,-,-,7,-,-,182,187,273,121,,絃,284,
2026/08/03,TX,202608/202610    ,337,337,337,337,-,-,1,-,-,333,338,572,311,,,33,
2026/08/03,TX,202608/202610    ,334,362,334,362,-,-,19,-,-,358,373,572,311,,絃,23,
2026/08/03,TX,202608/202612    ,640,641,640,641,-,-,3,-,-,629,636,1070,615,,,6,
2026/08/03,TX,202608/202612    ,640,640,640,640,-,-,1,-,-,652,677,1070,615,,絃,12,
2026/08/03,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,1240,1280,1995,1226,,絃,7,
2026/08/03,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,445,530,861,104,,絃,1,
2026/08/04,TX,202608/202609    ,152,152,123,126,-,-,320,-,-,122,125,273,121,,,324,
2026/08/04,TX,202608/202609    ,143,150,141,148,-,-,11,-,-,150,156,273,121,,絃,243,
2026/08/04,TX,202608/202610    ,325,325,325,325,-,-,1,-,-,313,319,572,311,,,40,
2026/08/04,TX,202608/202610    ,-,-,-,-,-,-,0,-,-,323,334,572,311,,絃,46,
2026/08/04,TX,202608/202612    ,600,600,579,580,-,-,4,-,-,571,584,1070,579,,,22,
2026/08/04,TX,202608/202612    ,-,-,-,-,-,-,0,-,-,610,640,1070,615,,絃,4,
2026/08/04,TX,202608/202703    ,1220,1220,1142,1142,-,-,5,-,-,1121,1139,1995,1142,,,2,
2026/08/04,TX,202608/202703    ,1224,1225,1223,1223,-,-,3,-,-,1200,1235,1995,1223,,絃,1,
2026/08/04,TX,202608/202706    ,1835,1835,1769,1769,-,-,3,-,-,1727,1755,2736,1769,,,3,
2026/08/04,TX,202608/202706    ,1837,1837,1835,1835,-,-,3,-,-,1810,1867,2736,1835,,絃,5,
2026/08/04,TX,202609/202610    ,-,-,-,-,-,-,0,-,-,-,197,238,236,,,2,
2026/08/04,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,450,520,861,104,,絃,1,
2026/08/04,TX,202703/202706    ,604,618,604,618,-,-,2,-,-,-,619,618,602,,,0,
2026/08/04,TX,202703/202706    ,602,604,602,604,-,-,3,-,-,-,608,604,602,,絃,1,
2026/08/05,TX,202608/202609    ,108,108,90,90,-,-,768,-,-,89,96,273,90,,,217,
2026/08/05,TX,202608/202609    ,127,129,117,118,-,-,33,-,-,114,119,273,117,,絃,238,
2026/08/05,TX,202608/202610    ,-,-,-,-,-,-,0,-,-,257,266,572,311,,,44,
2026/08/05,TX,202608/202610    ,311,311,311,311,-,-,1,-,-,241,297,572,311,,絃,30,
2026/08/05,TX,202608/202612    ,-,-,-,-,-,-,0,-,-,522,532,1070,577,,,14,
2026/08/05,TX,202608/202612    ,580,580,577,580,-,-,15,-,-,535,585,1070,577,,絃,7,
2026/08/05,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,1059,1071,1995,1142,,,6,
2026/08/05,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,1666,1731,2736,1769,,,6,
2026/08/05,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,1650,1770,2736,1769,,絃,1,
2026/08/05,TX,202609/202610    ,-,-,-,-,-,-,0,-,-,-,184,238,236,,,1,
2026/08/05,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,521,-,843,329,,,1,
2026/08/05,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,644,618,602,,,1,
2026/08/06,TX,202608/202609    ,90,110,88,105,-,-,118,-,-,103,108,273,88,,絃,272,
2026/08/06,TX,202608/202610    ,-,-,-,-,-,-,0,-,-,251,264,572,311,,絃,17,
2026/08/06,TX,202608/202612    ,-,-,-,-,-,-,0,-,-,520,538,1070,577,,絃,4,
2026/08/06,TX,202608/202703    ,-,-,-,-,-,-,0,-,-,1050,1071,1995,1142,,絃,5,
2026/08/06,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,1690,1730,2736,1769,,絃,2,
2026/08/06,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,-,618,602,,絃,2,
