ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/18,TX,202709  ,-,-,-,-,-,-,0,-,-,48376,48512,48000,47604,,絃,,
2026/09/21,TX,202610  ,47607,48091,47496,48077,649,1.37%,37750,48053,101502,48078,48082,48091,39852,,,,
2026/09/21,TX,202610  ,47494,47584,47208,47405,-23,-0.05%,21514,-,-,47404,47415,47780,39852,,絃,,
2026/09/21,TX,202611  ,47701,48219,47666,48205,624,1.31%,193,48240,653,48236,48245,48219,44435,,,,
2026/09/21,TX,202611  ,47659,47730,47380,47570,-11,-0.02%,168,-,-,47566,47584,47932,44435,,絃,,
2026/09/21,TX,202612  ,47845,48366,47845,48366,656,1.37%,40,48361,722,48369,48381,50228,27382,,,,
2026/09/21,TX,202612  ,47838,47838,47528,47759,49,0.10%,21,-,-,47697,47720,50228,27382,,絃,,
2026/09/21,TX,202703  ,48436,48765,48436,48765,594,1.23%,11,48834,104,48827,48842,50802,32400,,,,
2026/09/21,TX,202703  ,48200,48200,48100,48100,-71,-0.15%,3,-,-,48152,48185,50802,32400,,絃,,
2026/09/21,TX,202706  ,-,-,-,-,-,-,0,49335,60,49324,49347,51411,41461,,,,
2026/09/21,TX,202706  ,48768,48768,48513,48688,23,0.05%,10,-,-,48636,48682,51411,41461,,絃,,
2026/09/21,TX,202709  ,49096,49544,49096,49544,844,1.73%,12,49413,32,49396,49431,49544,47604,,,,
2026/09/21,TX,202709  ,48644,48644,48644,48644,-56,-0.11%,1,-,-,48659,48750,48700,47604,,絃,,
2026/09/22,TX,202610  ,48888,48946,48034,48243,190,0.40%,41691,48225,102946,48243,48247,48946,39852,,,,
2026/09/22,TX,202610  ,48121,48805,48105,48781,728,1.51%,20885,-,-,48775,48783,48805,39852,,絃,,
2026/09/22,TX,202611  ,48979,49090,48206,48395,155,0.32%,322,48387,838,48406,48416,49090,44435,,,,
2026/09/22,TX,202611  ,48288,48970,48286,48927,687,1.42%,151,-,-,48941,48954,48970,44435,,絃,,
2026/09/22,TX,202612  ,49150,49150,48350,48400,39,0.08%,28,48559,736,48553,48566,50228,27382,,,,
2026/09/22,TX,202612  ,48442,48990,48442,48990,629,1.30%,7,-,-,49071,49085,50228,27382,,絃,,
2026/09/22,TX,202703  ,49481,49481,49050,49050,216,0.44%,14,49033,109,49025,49041,50802,32400,,,,
2026/09/22,TX,202703  ,49023,49023,48992,48992,158,0.32%,2,-,-,49525,49553,50802,32400,,絃,,
2026/09/22,TX,202706  ,50000,50000,49550,49550,215,0.44%,2,49550,62,49532,49549,51411,41461,,,,
2026/09/22,TX,202706  ,49529,49980,49500,49980,645,1.31%,10,-,-,50030,50063,51411,41461,,絃,,
2026/09/22,TX,202709  ,50228,50228,49743,49743,330,0.67%,6,49635,34,49627,49643,50228,47604,,,,
2026/09/22,TX,202709  ,49686,50010,49686,50010,597,1.21%,3,-,-,50135,50203,50010,47604,,絃,,
2026/09/23,TX,202610  ,48529,48623,48223,48336,111,0.23%,32929,48312,103311,48338,48343,48946,39852,,,,
2026/09/23,TX,202610  ,48186,48647,47876,48497,272,0.56%,31121,-,-,48497,48514,48946,39852,,絃,,
2026/09/23,TX,202611  ,48752,48760,48398,48508,121,0.25%,203,48498,906,48502,48511,49090,44435,,,,
2026/09/23,TX,202611  ,48349,48743,48085,48680,293,0.61%,122,-,-,48662,48684,49090,44435,,絃,,
2026/09/23,TX,202612  ,48800,48888,48566,48566,7,0.01%,25,48675,733,48672,48678,50228,27382,,,,
2026/09/23,TX,202612  ,48348,48890,48230,48890,331,0.68%,16,-,-,48814,48841,50228,27382,,絃,,
2026/09/23,TX,202703  ,49343,49343,49082,49082,49,0.10%,10,49198,112,49185,49212,50802,32400,,,,
2026/09/23,TX,202703  ,49000,49396,49000,49396,363,0.74%,4,-,-,49287,49333,50802,32400,,絃,,
2026/09/23,TX,202706  ,49814,49814,49630,49635,85,0.17%,5,49745,69,49728,49763,51411,41461,,,,
2026/09/23,TX,202706  ,49520,49888,49520,49888,338,0.68%,10,-,-,49802,49854,51411,41461,,絃,,
2026/09/23,TX,202709  ,49635,-,-,49635,0,0.00%,7,49773,33,49764,49783,50228,47604,,,,
2026/09/23,TX,202709  ,-,-,-,-,-,-,0,-,-,49880,49934,50228,47604,,絃,,
2026/09/24,TX,202610  ,47850,48275,47797,48123,-189,-0.39%,37196,48125,101311,48123,48130,48946,39852,,,,
2026/09/24,TX,202610  ,48400,48404,47783,47909,-403,-0.83%,28947,-,-,47908,47914,48946,39852,,絃,,
2026/09/24,TX,202611  ,48054,48435,47986,48258,-240,-0.49%,889,48258,1608,48267,48276,49090,44435,,,,
2026/09/24,TX,202611  ,48543,48551,47996,48088,-410,-0.85%,184,-,-,48084,48094,49090,44435,,絃,,
2026/09/24,TX,202612  ,48200,48509,48179,48500,-175,-0.36%,71,48437,790,48431,48444,50228,27382,,,,
2026/09/24,TX,202612  ,48549,48700,48150,48214,-461,-0.95%,33,-,-,48260,48281,50228,27382,,絃,,
2026/09/24,TX,202703  ,48726,48726,48726,48726,-472,-0.96%,1,48980,113,48944,49016,50802,32400,,,,
2026/09/24,TX,202703  ,49092,49092,48801,48801,-397,-0.81%,5,-,-,48778,48849,50802,32400,,絃,,
2026/09/24,TX,202706  ,49320,49540,49292,49540,-205,-0.41%,5,49569,75,49553,49585,51411,41461,,,,
2026/09/24,TX,202706  ,49650,49650,49387,49387,-358,-0.72%,4,-,-,49308,49364,51411,41461,,絃,,
2026/09/24,TX,202709  ,49588,49665,49465,49501,-272,-0.55%,29,49526,30,49512,49541,50228,47604,,,,
2026/09/24,TX,202709  ,49688,49688,49300,49300,-473,-0.95%,5,-,-,49363,49454,50228,47604,,絃,,
2026/09/16,TX,202609/202610    ,155,272,144,231,-,-,1946,-,-,195,260,272,71,,,6980,
2026/09/16,TX,202609/202610    ,131,140,97,101,-,-,285,-,-,109,114,238,71,,絃,1615,
2026/09/16,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,6,-,408,305,,,6,
2026/09/16,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,41,275,408,305,,絃,4,
2026/09/16,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,-,-,861,104,,,11,
2026/09/16,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,375,420,861,104,,絃,4,
2026/09/16,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,-,-,1515,1347,,,1,
2026/09/16,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1202,1395,1515,1347,,絃,3,
2026/09/16,TX,202610/202611    ,146,146,146,146,-,-,4,-,-,144,148,195,140,,,68,
2026/09/16,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,151,160,195,140,,絃,30,
2026/09/16,TX,202610/202612    ,265,265,249,249,-,-,151,-,-,248,256,493,201,,,58,
2026/09/16,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,270,292,493,201,,絃,7,
2026/09/16,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,743,755,774,773,,,14,
2026/09/16,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,765,810,774,773,,絃,1,
2026/09/16,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1185,1203,1203,1203,,,3,
2026/09/16,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1195,1245,1203,1203,,絃,6,
2026/09/16,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,96,-,140,133,,,10,
2026/09/16,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,115,-,140,133,,絃,3,
2026/09/16,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,-,492,843,329,,,6,
2026/09/16,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,443,-,638,602,,,3,
2026/09/16,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,433,-,638,602,,絃,1,
2026/09/17,TX,202610/202611    ,149,163,147,163,-,-,19,-,-,156,160,195,140,,,166,
2026/09/17,TX,202610/202611    ,150,151,146,149,-,-,36,-,-,155,163,195,140,,絃,165,
2026/09/17,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,268,274,493,201,,,31,
2026/09/17,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,260,277,493,201,,絃,29,
2026/09/17,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,744,763,774,773,,,10,
2026/09/17,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,750,775,774,773,,絃,2,
2026/09/17,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1215,1249,1203,1203,,,15,
2026/09/17,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1200,1240,1203,1203,,絃,2,
2026/09/17,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1224,1261,-,-,,,24,
2026/09/17,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,106,-,140,133,,,6,
2026/09/17,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,102,-,140,133,,絃,2,
2026/09/17,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,-,492,843,329,,,1,
2026/09/17,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,-,638,602,,,1,
2026/09/17,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,-,638,602,,絃,1,
2026/09/18,TX,202610/202611    ,154,161,153,155,-,-,37,-,-,155,159,195,140,,,101,
2026/09/18,TX,202610/202611    ,157,158,153,158,-,-,22,-,-,154,160,195,140,,絃,45,
2026/09/18,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,282,290,493,201,,,30,
2026/09/18,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,270,284,493,201,,絃,6,
2026/09/18,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,743,754,774,773,,,3,
2026/09/18,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,735,760,774,773,,絃,2,
2026/09/18,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1219,1241,1203,1203,,,12,
2026/09/18,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1205,1245,1203,1203,,絃,4,
2026/09/18,TX,202610/202709    ,1263,1269,1263,1269,-,-,5,-,-,1258,1285,1269,1263,,,18,
2026/09/18,TX,202611/202709    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,,1,
2026/09/18,TX,202706/202709    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,,1,
2026/09/21,TX,202610/202611    ,166,166,160,161,-,-,42,-,-,158,163,195,140,,,130,
2026/09/21,TX,202610/202611    ,167,167,167,167,-,-,15,-,-,162,169,195,140,,絃,99,
2026/09/21,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,291,299,493,201,,,39,
2026/09/21,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,293,305,493,201,,絃,21,
2026/09/21,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,749,760,774,773,,,11,
2026/09/21,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,748,770,774,773,,絃,3,
2026/09/21,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1232,1267,1203,1203,,絃,10,
2026/09/21,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1318,1349,1269,1263,,,12,
2026/09/21,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1255,1335,1269,1263,,絃,1,
2026/09/22,TX,202610/202611    ,171,171,163,165,-,-,86,-,-,163,169,195,140,,,204,
2026/09/22,TX,202610/202611    ,164,166,164,165,-,-,20,-,-,166,171,195,140,,絃,92,
2026/09/22,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,310,319,493,201,,,27,
2026/09/22,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,296,302,493,201,,絃,7,
2026/09/22,TX,202610/202703    ,751,776,751,776,-,-,4,-,-,782,794,776,751,,,10,
2026/09/22,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,750,770,774,773,,絃,2,
2026/09/22,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1289,1302,1203,1203,,,1,
2026/09/22,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1255,1280,1203,1203,,絃,9,
2026/09/22,TX,202610/202709    ,1383,1389,1383,1388,-,-,3,-,-,1384,1396,1389,1263,,,3,
2026/09/22,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1360,1420,1269,1263,,絃,3,
2026/09/22,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,519,638,602,,,1,
2026/09/22,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,519,638,602,,絃,1,
2026/09/23,TX,202610/202611    ,169,169,165,165,-,-,16,-,-,164,168,195,140,,,137,
2026/09/23,TX,202610/202611    ,167,167,167,167,-,-,10,-,-,165,170,195,140,,絃,84,
2026/09/23,TX,202610/202612    ,331,334,331,334,-,-,4,-,-,334,335,493,201,,,15,
2026/09/23,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,317,327,493,201,,絃,16,
2026/09/23,TX,202610/202703    ,829,829,829,829,-,-,1,-,-,847,869,829,751,,,7,
2026/09/23,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,790,819,776,751,,絃,4,
2026/09/23,TX,202610/202706    ,1379,1379,1379,1379,-,-,1,-,-,1390,1420,1379,1203,,,1,
2026/09/23,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1305,1340,1203,1203,,絃,10,
2026/09/23,TX,202610/202709    ,1447,1449,1436,1436,-,-,7,-,-,1426,1440,1449,1263,,,0,
2026/09/23,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,126,172,140,133,,,11,
2026/09/23,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,516,-,843,329,,,1,
2026/09/23,TX,202703/202706    ,542,542,542,542,-,-,1,-,-,-,558,638,542,,,2,
2026/09/24,TX,202610/202611    ,176,176,132,145,-,-,730,-,-,144,146,195,132,,,130,
2026/09/24,TX,202610/202611    ,180,180,180,180,-,-,1,-,-,176,180,195,140,,絃,122,
2026/09/24,TX,202610/202612    ,355,355,327,328,-,-,57,-,-,308,314,493,201,,,8,
2026/09/24,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,352,367,493,201,,絃,31,
2026/09/24,TX,202610/202703    ,884,884,884,884,-,-,1,-,-,870,935,884,751,,絃,4,
2026/09/24,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1430,1455,1379,1203,,,3,
2026/09/24,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,1400,1450,1379,1203,,絃,3,
2026/09/24,TX,202610/202709    ,1470,1470,1446,1447,-,-,11,-,-,1389,1411,1470,1263,,,17,
2026/09/24,TX,202610/202709    ,-,-,-,-,-,-,0,-,-,1455,1540,1449,1263,,絃,5,
2026/09/24,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,125,177,140,133,,,4,
2026/09/24,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,588,638,542,,絃,1,
2026/09/24,TX,202706/202709    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,,1,
