ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/10,TX,202608  ,44985,45219,44668,44987,690,1.56%,49606,44990,101913,44987,44998,49470,39442,,,,
2026/08/10,TX,202608  ,44362,45246,44362,45033,736,1.66%,41042,-,-,45031,45039,49470,39442,,絃,,
2026/08/10,TX,202609  ,45048,45320,44790,45113,694,1.56%,3078,45113,12158,45103,45118,49651,24962,,,,
2026/08/10,TX,202609  ,44487,45309,44487,45128,709,1.60%,428,-,-,45120,45129,49651,24962,,絃,,
2026/08/10,TX,202610  ,45138,45313,44906,45210,685,1.54%,27,45210,304,45205,45222,46770,39852,,,,
2026/08/10,TX,202610  ,45340,45340,44688,45068,543,1.22%,10,-,-,45191,45210,46770,39852,,絃,,
2026/08/10,TX,202612  ,45300,45555,45100,45410,676,1.51%,31,45410,388,45397,45415,50228,27382,,,,
2026/08/10,TX,202612  ,45100,45290,45100,45170,436,0.97%,4,-,-,45376,45449,50228,27382,,絃,,
2026/08/10,TX,202703  ,46014,46014,45854,45854,621,1.37%,4,45888,124,45877,45899,50802,32400,,,,
2026/08/10,TX,202703  ,46000,46100,45841,45841,608,1.34%,3,-,-,45633,45949,50802,32400,,絃,,
2026/08/10,TX,202706  ,46672,46672,46470,46470,804,1.76%,3,46517,68,46501,46534,51411,41461,,,,
2026/08/10,TX,202706  ,46412,46499,46402,46402,736,1.61%,4,-,-,46411,46589,51411,41461,,絃,,
2026/08/11,TX,202608  ,44761,45200,44570,45090,100,0.22%,50327,45085,99034,45078,45089,49470,39442,,,,
2026/08/11,TX,202608  ,45000,45179,44642,44719,-271,-0.60%,28989,-,-,44708,44737,49470,39442,,絃,,
2026/08/11,TX,202609  ,44918,45320,44725,45215,102,0.23%,3285,45215,14886,45206,45222,49651,24962,,,,
2026/08/11,TX,202609  ,45128,45275,44800,44879,-234,-0.52%,401,-,-,44846,44880,49651,24962,,絃,,
2026/08/11,TX,202610  ,45103,45348,44901,45309,99,0.22%,44,45324,314,45316,45333,46770,39852,,,,
2026/08/11,TX,202610  ,45319,45319,44951,45051,-159,-0.35%,21,-,-,44945,44984,46770,39852,,絃,,
2026/08/11,TX,202612  ,45313,45610,45087,45518,108,0.24%,29,45518,385,45521,45539,50228,27382,,,,
2026/08/11,TX,202612  ,45271,45287,45099,45184,-226,-0.50%,11,-,-,45142,45187,50228,27382,,絃,,
2026/08/11,TX,202703  ,45798,46055,45798,46024,136,0.30%,6,46024,124,46013,46034,50802,32400,,,,
2026/08/11,TX,202703  ,46005,46005,45600,45600,-288,-0.63%,4,-,-,45619,45693,50802,32400,,絃,,
2026/08/11,TX,202706  ,-,-,-,-,-,-,0,46627,68,46611,46644,51411,41461,,,,
2026/08/11,TX,202706  ,-,-,-,-,-,-,0,-,-,46238,46314,51411,41461,,絃,,
2026/08/12,TX,202608  ,45350,45561,45156,45528,443,0.98%,48409,45516,95311,45519,45527,49470,39442,,,,
2026/08/12,TX,202608  ,44937,45520,44830,45279,194,0.43%,36518,-,-,45266,45285,49470,39442,,絃,,
2026/08/12,TX,202609  ,45460,45702,45300,45673,458,1.01%,4721,45673,18300,45668,45678,49651,24962,,,,
2026/08/12,TX,202609  ,45075,45640,45000,45425,210,0.46%,800,-,-,45398,45422,49651,24962,,絃,,
2026/08/12,TX,202610  ,45583,45802,45467,45669,345,0.76%,31,45786,325,45780,45792,46770,39852,,,,
2026/08/12,TX,202610  ,45212,45750,45201,45526,202,0.45%,33,-,-,45505,45541,46770,39852,,絃,,
